Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music
19.0,6.0,1.0,1.0,0.0,1,1.0,120.0,0,0,0,1,0,1,2,1,0,2,3,2,0,0,2,2,9.0,8.0,2.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17.0,4.0,0.0,0.0,0.0,1,1.0,142.0,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,5.0,6.0,6.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.0,1.0,1.0,0.0,0.0,0,0.0,75.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,5.0,1.0,1.0,0.0,1,0.0,120.0,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,3.0,2.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.0,4.0,1.0,0.0,0.0,0,1.0,89.0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,6.0,8.0,0.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.0,3.0,1.0,0.0,0.0,1,0.0,120.0,0,0,2,0,0,3,1,2,0,0,1,3,2,3,3,0,2.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,0.5,0.0,0.0,0.0,0,1.0,140.0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,9.0,8.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,4.0,1.0,0.0,0.0,1,0.0,161.0,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,7.0,2.0,8.0,6.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,2.0,1.0,1.0,1.0,1,0.0,80.0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,4.0,2.0,3.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.0,5.0,1.0,1.0,0.0,1,0.0,130.0,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,7.0,6.0,5.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
